GameScore,Steps,StepsDeath,SnakeScore
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
1,6,3,15
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
1,6,6,15
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
1,6,6,15
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
1,6,3,15
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
1,6,5,15
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
1,6,4,15
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
1,33,30,42
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
1,6,3,15
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
1,30,30,39
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,9,9,9
0,6,6,6
0,6,6,6
1,32,30,41
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,30,30,30
0,30,30,30
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,6,6,6
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,11,11,11
0,30,30,30
0,6,6,6
0,6,6,6
0,6,6,6
0,30,30,30
0,30,30,30
0,6,6,6
0,30,30,30
0,6,6,6
0,30,30,30
1,6,3,15
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
0,30,30,30
